number,latitude,longitude,time,step,surface,valid_time,u10,v10,t2m,cape,msl,sp,tcc,depthBelowLandLayer,swvl1
0,28.5,13.0,2024-01-01,0 days,0.0,2024-01-01,-0.60072803,-1.0194826,283.34863,1.8125,102404.31,95738.06,0.2659999,0.0,0.0019459182
0,28.5,13.5,2024-01-01,0 days,0.0,2024-01-01,-0.18520069,-0.87055683,283.4287,2.25,102401.94,95544.06,0.26445878,0.0,6.908714e-05
0,28.5,14.0,2024-01-01,0 days,0.0,2024-01-01,0.48374462,-0.9184084,283.37988,2.375,102398.06,95335.06,0.2582332,0.0,2.3310771e-05
0,28.5,14.5,2024-01-01,0 days,0.0,2024-01-01,0.8387251,-0.9882326,283.56934,0.9375,102386.31,95804.06,0.25422013,0.0,-2.2465596e-05
0,28.5,15.0,2024-01-01,0 days,0.0,2024-01-01,0.7474165,-1.0775881,283.83887,0.5,102376.44,96206.06,0.26775467,0.0,0.00014538108
0,28.5,15.5,2024-01-01,0 days,0.0,2024-01-01,0.68101025,-0.76313496,283.7881,0.4375,102370.31,96236.06,0.26784623,0.0,0.0007099563
0,28.5,16.0,2024-01-01,0 days,0.0,2024-01-01,0.9915571,-0.53120136,283.7041,0.25,102357.31,96657.06,0.26665604,0.0,0.0009693557
0,28.5,16.5,2024-01-01,0 days,0.0,2024-01-01,1.4998579,-0.06391621,284.06543,0.25,102344.06,97321.06,0.26235306,0.0,0.0009693557
0,28.5,17.0,2024-01-01,0 days,0.0,2024-01-01,1.6727095,0.11479473,284.333,0.6875,102327.31,98179.06,0.26957047,0.0,0.0018085891
0,28.5,17.5,2024-01-01,0 days,0.0,2024-01-01,1.7664595,0.11479473,284.68457,1.875,102310.44,98947.06,0.27898514,0.0,0.0038685256
0,28.5,18.0,2024-01-01,0 days,0.0,2024-01-01,1.7967329,-0.1762209,284.59473,3.375,102292.94,99172.06,0.27121842,0.0,0.009270137
0,28.5,18.5,2024-01-01,0 days,0.0,2024-01-01,1.9383345,-0.13520527,284.58496,4.3125,102274.69,99705.06,0.27390397,0.0,0.0052723344
0,28.5,19.0,2024-01-01,0 days,0.0,2024-01-01,1.755229,0.00493145,284.3916,4.1875,102260.81,100000.06,0.29219925,0.0,0.011070674
0,28.5,19.5,2024-01-01,0 days,0.0,2024-01-01,1.6731977,0.18950176,284.2119,3.8125,102247.69,100184.06,0.27524674,0.0,0.018593257
0,28.5,20.0,2024-01-01,0 days,0.0,2024-01-01,1.7522993,0.05913067,284.12598,2.4375,102234.44,100138.06,0.2350856,0.0,0.02082104
0,28.0,10.0,2024-01-01,0 days,0.0,2024-01-01,-1.5357866,-1.2074709,282.26074,0.0,102388.94,95991.06,0.15792191,0.0,-7.206807e-06
0,28.0,10.5,2024-01-01,0 days,0.0,2024-01-01,-1.288228,-1.2602053,281.9248,0.0,102390.69,96027.06,0.1591121,0.0,0.0030903274
0,28.0,11.0,2024-01-01,0 days,0.0,2024-01-01,-1.0680132,-1.119092,281.8037,0.0,102391.44,95895.06,0.16663468,0.0,0.005608028
0,28.0,11.5,2024-01-01,0 days,0.0,2024-01-01,-0.7130327,-1.0731936,281.92285,0.0625,102389.56,96108.06,0.18883622,0.0,0.0049213823
0,28.0,12.0,2024-01-01,0 days,0.0,2024-01-01,-0.39662647,-0.9701662,282.12402,0.375,102385.44,96518.06,0.2026149,0.0,9.960472e-05
0,28.0,12.5,2024-01-01,0 days,0.0,2024-01-01,-0.5645952,-0.8993654,282.7666,3.375,102381.69,96848.06,0.23075211,0.0,0.008171504
0,28.0,13.0,2024-01-01,0 days,0.0,2024-01-01,-0.75356007,-0.96625996,283.25684,3.5625,102381.81,96425.06,0.24225724,0.0,0.004204219
0,28.0,13.5,2024-01-01,0 days,0.0,2024-01-01,-0.62611866,-1.3876467,283.7881,2.375,102379.69,96180.06,0.23442948,0.0,8.051982e-06
0,28.0,14.0,2024-01-01,0 days,0.0,2024-01-01,-0.02064991,-1.5136232,283.833,1.875,102374.94,96060.06,0.2263881,0.0,-3.7724385e-05
0,28.0,14.5,2024-01-01,0 days,0.0,2024-01-01,0.32505322,-1.4530764,283.69434,1.25,102370.81,96416.06,0.23795426,0.0,-5.2983174e-05
0,28.0,15.0,2024-01-01,0 days,0.0,2024-01-01,0.24643993,-1.3954592,283.7002,0.5625,102363.69,96831.06,0.2438289,0.0,2.3310771e-05
0,28.0,15.5,2024-01-01,0 days,0.0,2024-01-01,0.06870556,-1.0922365,283.2627,0.375,102360.56,96577.06,0.23410904,0.0,0.00049633323
0,28.0,16.0,2024-01-01,0 days,0.0,2024-01-01,0.12876415,-0.6552248,282.74316,0.3125,102361.44,95910.06,0.23233902,0.0,0.012550777
0,28.0,16.5,2024-01-01,0 days,0.0,2024-01-01,0.645854,-0.17475605,283.08496,0.3125,102350.69,96304.06,0.23165238,0.0,0.012047237
0,28.0,17.0,2024-01-01,0 days,0.0,2024-01-01,1.3856001,0.1548338,283.6084,0.375,102345.31,95996.06,0.23891556,0.0,0.011085933
0,28.0,17.5,2024-01-01,0 days,0.0,2024-01-01,1.7981977,0.1362791,283.9541,1.1875,102329.94,96524.06,0.2428981,0.0,0.013222164
0,28.0,18.0,2024-01-01,0 days,0.0,2024-01-01,2.0794477,-0.19624043,284.78027,2.125,102303.69,98010.06,0.24540055,0.0,0.0043110307
0,28.0,18.5,2024-01-01,0 days,0.0,2024-01-01,1.743022,-0.26020527,284.7705,4.5625,102283.94,99129.06,0.2638179,0.0,0.0023426467
